command,file,domain_id,domain,muster,stamm,rw,tables,ki,layers,vault,gl_refs,mvp,review,params,return
list_countries,commands.rs,D-1,Vokabulare & Lookups,CRUD,countries,R,lookup_country,0,0,0,,MVP,0,,"Result<Vec<LookupItem>, String>"
list_distinct_sub_kategorien,commands.rs,D-1,Vokabulare & Lookups,CRUD,distinct_sub_kategorien,R,lookup_produkttyp;wawi_gp_v2,0,0,0,,MVP,0,warengruppe: Option<String>,"Result<Vec<String>, String>"
list_einheiten,commands.rs,D-1,Vokabulare & Lookups,CRUD,einheiten,W,allergens;calc;ing_base;ing_costs;ing_nutri;ing_resolved;ing_tags;ings;lookup_unit;nutritional;prices;recipe_ingredients;recipes;sums;supplier_items;vocab_einheit;wawi_gp_count_unit_defaults;wawi_gp_v2;wawi_la_structured,0,0,0,,MVP,0,,"Result<Vec<VocabEinheit>, String>"
list_einheiten_vpe_const,commands.rs,D-1,Vokabulare & Lookups,CRUD,einheiten_vpe_const,R,,0,0,0,,MVP,0,,"Result<Vec<String>, String>"
list_food_domains,commands.rs,D-1,Vokabulare & Lookups,CRUD,food_domains,R,vocab_food_domain,0,0,0,,MVP,0,,"Result<Vec<FoodDomain>, String>"
list_formen_const,commands.rs,D-1,Vokabulare & Lookups,CRUD,formen_const,R,,0,0,0,,MVP,0,,"Result<Vec<String>, String>"
get_kuechen_typ,commands.rs,D-1,Vokabulare & Lookups,CRUD,kuechen_typ,R,,0,0,0,,MVP,0,,"Result<Vec<String>, String>"
set_kuechen_typ,commands.rs,D-1,Vokabulare & Lookups,CRUD,kuechen_typ,R,vocab_kuechen_typ,0,0,0,,MVP,0,slugs: Vec<String>,"Result<(), String>"
list_kuechen_typen,commands.rs,D-1,Vokabulare & Lookups,CRUD,kuechen_typen,R,vocab_kuechen_typ,0,0,0,,MVP,0,,"Result<Vec<crate::models::KuechenTyp>, String>"
list_languages,commands.rs,D-1,Vokabulare & Lookups,CRUD,languages,R,lookup_language,0,0,0,,MVP,0,,"Result<Vec<LookupItem>, String>"
merge_recipe_kategorien,commands.rs,D-1,Vokabulare & Lookups,Spezial,merge_recipe_kategorien,W,recipe_kategorien;recipes,0,0,0,,MVP,1,"source_id: i64, target_id: i64","Result<i64, String>"
list_niveaus,commands.rs,D-1,Vokabulare & Lookups,CRUD,niveaus,R,vocab_niveau,0,0,0,,MVP,0,,"Result<Vec<crate::models::NiveauVocab>, String>"
list_produkttypen,commands.rs,D-1,Vokabulare & Lookups,CRUD,produkttypen,R,lookup_recipe_typ;pairing_anker_edges;recipe_hauptgruppen;recipe_kategorien;recipes;vocab_pairing_anker,0,0,1,GL-13,MVP,0,warengruppe: String,"Result<Vec<String>, String>"
accept_recipe_kategorie,commands.rs,D-1,Vokabulare & Lookups,KI-Lebenszyklus,recipe_kategorie,W,recipe_hauptgruppen;recipe_kategorien;recipes,0,0,0,GL-07,MVP,1,input: AcceptRecipeKategorieInput,"Result<i64, String>"
create_recipe_kategorie,commands.rs,D-1,Vokabulare & Lookups,CRUD,recipe_kategorie,W,recipe_kategorien,0,0,0,,MVP,1,input: RecipeKategorieInput,"Result<i64, String>"
delete_recipe_kategorie,commands.rs,D-1,Vokabulare & Lookups,CRUD,recipe_kategorie,W,recipe_kategorien;recipes,0,0,0,,MVP,1,kategorie_id: i64,"Result<(), String>"
update_recipe_kategorie,commands.rs,D-1,Vokabulare & Lookups,CRUD,recipe_kategorie,W,recipe_kategorien,0,0,0,,MVP,1,"kategorie_id: i64, input: RecipeKategorieInput","Result<(), String>"
list_recipe_kategorien,commands.rs,D-1,Vokabulare & Lookups,CRUD,recipe_kategorien,R,recipe_hauptgruppen;recipe_kategorien;recipes,0,0,0,,MVP,1,hauptgruppe_id: Option<i64>,"Result<Vec<RecipeKategorie>, String>"
rename_sub_kategorie,commands.rs,D-1,Vokabulare & Lookups,Spezial,rename_sub_kategorie,R,wawi_gp_v2,0,0,0,,MVP,0,"warengruppe: String, old_value: String, new_value: String","Result<i64, String>"
list_sektoren,commands.rs,D-1,Vokabulare & Lookups,CRUD,sektoren,R,vocab_sektor,0,0,0,,MVP,0,,"Result<Vec<crate::models::SektorVocab>, String>"
clear_sub_kategorie,commands.rs,D-1,Vokabulare & Lookups,KI-Lebenszyklus,sub_kategorie,R,wawi_gp_v2,0,0,0,GL-07,MVP,0,"warengruppe: String, value: String","Result<i64, String>"
list_sub_kategorien_overview,commands.rs,D-1,Vokabulare & Lookups,CRUD,sub_kategorien_overview,R,wawi_gp_v2,0,0,0,,MVP,0,warengruppe: Option<String>,"Result<Vec<SubKategorieRow>, String>"
list_verarbeitungen_const,commands.rs,D-1,Vokabulare & Lookups,CRUD,verarbeitungen_const,R,,0,0,0,,MVP,0,,"Result<Vec<String>, String>"
create_vocab_kochequipment,commands.rs,D-1,Vokabulare & Lookups,CRUD,vocab_kochequipment,W,vocab_kochequipment,0,0,0,,MVP,1,"name: String, gruppe: Option<String>, sort_order: Option<i64>","Result<i64, String>"
delete_vocab_kochequipment,commands.rs,D-1,Vokabulare & Lookups,CRUD,vocab_kochequipment,W,recipe_equipment;vocab_kochequipment,0,0,0,,MVP,1,vocab_id: i64,"Result<(), String>"
list_vocab_kochequipment,commands.rs,D-1,Vokabulare & Lookups,CRUD,vocab_kochequipment,R,vocab_kochequipment,0,0,0,,MVP,1,include_inactive: bool,"Result<Vec<crate::models::VocabKochequipment>, String>"
update_vocab_kochequipment,commands.rs,D-1,Vokabulare & Lookups,CRUD,vocab_kochequipment,W,vocab_kochequipment,0,0,0,,MVP,1,"vocab_id: i64, name: String, gruppe: Option<String>, sort_order: Option<i64>","Result<(), String>"
